#p	 replica	 essentials	 correct	 fp	 fn
0.7000000000000001	6	479	0.7375478927203065	0.18773946360153257	0.07471264367816093
0.72	6	479	0.7375478927203065	0.18773946360153257	0.07471264367816093
0.74	6	482	0.7471264367816092	0.18582375478927204	0.06704980842911877
0.76	6	479	0.7452107279693486	0.1839080459770115	0.07088122605363985
0.78	6	476	0.7509578544061303	0.1781609195402299	0.07088122605363985
0.8	6	478	0.7471264367816092	0.18199233716475097	0.07088122605363985
0.8200000000000001	6	475	0.7337164750957854	0.18582375478927204	0.08045977011494253
0.84	6	476	0.7432950191570882	0.18199233716475097	0.07471264367816093
0.86	6	480	0.7432950191570882	0.18582375478927204	0.07088122605363985
0.88	6	482	0.7547892720306514	0.18199233716475097	0.06321839080459771
0.9	6	484	0.7586206896551724	0.18199233716475097	0.05938697318007663
0.92	6	485	0.7605363984674329	0.18199233716475097	0.05747126436781609
0.9400000000000001	6	487	0.7605363984674329	0.1839080459770115	0.05555555555555555
0.96	6	488	0.7624521072796935	0.1839080459770115	0.05363984674329502
0.98	6	487	0.7605363984674329	0.1839080459770115	0.05555555555555555
1.0	6	491	0.764367816091954	0.18582375478927204	0.04980842911877394
0.0	2	200	0.5440613026819924	0.017241379310344827	0.4386973180076628
0.02	2	234	0.5593869731800766	0.0421455938697318	0.39846743295019155
0.04	2	277	0.60727969348659	0.05938697318007663	0.3333333333333333
0.06	2	309	0.6302681992337165	0.07854406130268199	0.29118773946360155
0.08	2	330	0.6436781609195402	0.09195402298850575	0.26436781609195403
0.1	2	348	0.6551724137931034	0.10344827586206896	0.2413793103448276
0.12	2	353	0.6532567049808429	0.10919540229885058	0.23754789272030652
0.14	2	353	0.6494252873563219	0.1111111111111111	0.23946360153256704
0.16	2	361	0.6647509578544061	0.1111111111111111	0.22413793103448276
0.18	2	372	0.6666666666666666	0.1206896551724138	0.21264367816091953
0.2	2	382	0.6666666666666666	0.13026819923371646	0.20306513409961685
0.22	2	386	0.6628352490421456	0.1360153256704981	0.20114942528735633
0.24	2	401	0.6800766283524904	0.1417624521072797	0.1781609195402299
